index,latlong,void,postal_code
204,"39.84, -86.15",46220,46220
205,"40.75, -73.87",11372,11372
206,"40.92, -73.89",10705,10705
207,"40.74, -73.94",11101,11101
208,"40.68, -73.93",11233,11233
209,"40.88, -73.91",10463,10463
210,"40.66, -74.0",11232,11232
211,"40.88, -73.87",10467,10467
212,"40.85, -73.89",10457,10457
213,"40.86, -73.89",10458,10458
214,"0.0, 0.0",,00000
215,"40.76, -73.81",11355,11355
216,"40.58, -73.96",11235,11235
217,"40.64, -74.01",11220,11220
218,"40.68, -73.97",11238,11238
219,"40.68, -73.85",11417,11417
220,"40.64, -73.92",11234,11234
221,"40.71, -73.81",11435,11435
222,"40.8, -73.98",10024,10024
223,"40.75, -74.03",7030,07030
224,"40.77, -73.89",11370,11370
225,"40.73, -73.96",11222,11222
226,"40.71, -73.86",11385,11385
227,"40.7, -73.86",11421,11421
228,"40.89, -73.92",10471,10471
229,"40.7, -73.97",11251,11251
230,"40.88, -73.86",10467,10467
231,"40.75, -73.91",11104,11104
232,"40.64, -74.04",11209,11209
233,"40.7, -73.81",11435,11435
234,"40.7, -73.91",11385,11385
235,"40.74, -73.91",11377,11377
236,"40.64, -74.0",11219,11219
237,"40.59, -73.97",11223,11223
238,"40.64, -74.02",11220,11220
239,"40.84, -73.91",10457,10457
240,"40.12, -74.63",8620,08620
241,"40.83, -73.88",10472,10472
242,"40.69, -73.86",11421,11421
243,"40.73, -73.89",11378,11378
244,"40.64, -73.93",11203,11203
245,"40.78, -73.9",11105,11105
246,"40.73, -73.81",11365,11365
247,"40.66, -74.66",7921,07921
248,"40.58, -73.98",11224,11224
249,"40.71, -73.79",11432,11432
250,"40.76, -73.93",11106,11106
251,"40.76, -73.78",11361,11361
252,"40.88, -73.89",10468,10468
253,"40.64, -73.94",11203,11203
254,"40.63, -74.03",11209,11209
255,"40.81, -73.93",10451,10451
256,"40.85, -73.9",10457,10457
257,"40.86, -73.9",10468,10468
258,"40.67, -73.88",11208,11208
259,"40.7, -73.82",11418,11418
260,"40.85, -73.92",10453,10453
261,"40.61, -74.01",11228,11228
262,"40.79, -74.0",7093,07093
263,"40.62, -74.04",11209,11209
264,"40.85, -73.98",7024,07024
265,"40.7, -73.87",11385,11385
266,"40.66, -73.92",11212,11212
267,"40.67, -73.86",11208,11208
268,"40.72, -73.89",11378,11378
269,"40.73, -73.9",11378,11378
270,"40.71, -73.76",11423,11423
271,"40.87, -73.87",10467,10467
272,"40.81, -73.97",10115,10115
273,"40.76, -73.89",11370,11370
274,"40.78, -74.12",7031,07031
275,"40.75, -73.83",11355,11355
276,"40.86, -73.94",10034,10034
277,"40.7, -73.96",11249,11249
278,"40.71, -73.98",10002,10002
279,"40.04, -75.52",19355,19355
280,"40.72, -73.91",11378,11378
281,"40.68, -73.75",11413,11413
282,"40.78, -73.93",11102,11102
283,"40.62, -74.02",11228,11228
284,"40.64, -74.03",11220,11220
285,"40.61, -73.99",11204,11204
286,"40.76, -74.01",10018,10018
287,"40.75, -73.93",11101,11101
288,"42.2, -70.98",2190,02190
289,"40.64, -73.99",11219,11219
290,"40.71, -74.03",7311,07311
291,"40.84, -73.89",10460,10460
292,"40.79, -74.2",7003,07003
293,"40.75, -73.9",11377,11377
294,"40.9, -73.9",10471,10471
295,"40.89, -73.9",10471,10471
296,"40.79, -73.88",10474,10474
297,"40.84, -74.05",7074,07074
298,"40.66, -74.02",11232,11232
299,"40.85, -73.83",10461,10461
300,"40.7, -74.0",11201,11201
301,"40.77, -73.79",11358,11358
302,"42.25, -71.01",2169,02169
303,"40.81, -73.83",10465,10465
304,"40.76, -73.83",11354,11354
305,"40.71, -74.04",7302,07302
306,"40.71, -73.88",11385,11385
307,"40.87, -73.86",10469,10469
308,"40.61, -74.0",11214,11214
309,"40.62, -73.99",11204,11204
310,"40.6, -73.95",11229,11229
311,"40.62, -73.94",11234,11234
312,"40.74, -74.16",7029,07029
313,"40.71, -73.9",11385,11385
314,"40.86, -73.86",10469,10469
315,"40.76, -74.02",7086,07086
316,"40.9, -73.85",10466,10466
317,"39.8, -74.62",8088,08088
318,"40.75, -73.82",11355,11355
319,"40.66, -73.94",11203,11203
320,"40.63, -73.97",11230,11230
321,"40.61, -74.06",10305,10305
322,"40.8, -73.92",10454,10454
323,"40.84, -73.87",10460,10460
324,"40.79, -73.8",11357,11357
325,"40.63, -73.92",11234,11234
326,"40.9, -73.87",10470,10470
327,"40.61, -73.97",11230,11230
328,"40.69, -73.8",11435,11435
329,"40.63, -73.96",11230,11230
330,"40.88, -73.92",10463,10463
331,"40.7, -73.85",11421,11421
332,"40.71, -73.8",11432,11432
333,"40.71, -73.93",11237,11237
334,"40.67, -73.89",11207,11207
335,"40.67, -74.01",11231,11231
336,"40.76, -73.94",11106,11106
337,"44.6, -75.18",13617,13617
338,"40.83, -73.92",10456,10456
339,"40.65, -74.02",11232,11232
340,"40.69, -73.84",11416,11416
341,"40.97, -72.13",11930,11930
342,"41.09, -73.86",10591,10591
343,"40.88, -73.88",10467,10467
344,"43.03, -76.63",13140,13140
345,"40.91, -73.9",10471,10471
346,"40.86, -73.87",10467,10467
347,"40.68, -74.01",11231,11231
348,"40.82, -73.81",10465,10465
349,"40.68, -73.88",11208,11208
350,"40.73, -73.88",11373,11373
351,"40.62, -73.97",11230,11230
352,"40.73, -74.05",7302,07302
353,"40.63, -74.01",11219,11219
354,"40.75, -73.75",11364,11364
355,"40.91, -73.81",10803,10803
356,"40.65, -74.0",11232,11232
357,"40.66, -73.76",11413,11413
358,"40.64, -73.98",11218,11218
359,"40.81, -73.91",10455,10455
360,"42.35, -71.08",2199,02199
361,"40.58, -73.82",11692,11692
362,"40.6, -73.99",11214,11214
363,"40.76, -73.9",11377,11377
364,"40.9, -73.91",10471,10471
365,"40.89, -73.86",10466,10466
366,"40.59, -73.94",11235,11235
367,"40.83, -74.22",7042,07042
368,"40.62, -74.0",11228,11228
369,"40.91, -73.78",10801,10801
370,"40.59, -73.82",11693,11693
371,"40.66, -74.01",11232,11232
372,"40.74, -73.9",11377,11377
373,"40.71, -73.78",11423,11423
374,"40.59, -73.99",11214,11214
375,"40.58, -73.84",11694,11694
376,"40.62, -73.95",11210,11210
377,"40.59, -74.16",10314,10314
378,"40.63, -73.89",11236,11236
379,"40.59, -73.93",11229,11229
380,"40.71, -73.87",11379,11379
381,"40.83, -73.85",10462,10462
382,"40.83, -73.93",10452,10452
383,"40.61, -73.95",11229,11229
384,"40.57, -73.86",11694,11694
385,"40.72, -73.82",11367,11367
386,"34.01, -118.27",90011,90011
387,"40.51, -74.47",8873,08873
388,"40.6, -73.97",11223,11223
389,"40.71, -73.84",11375,11375
390,"40.68, -73.89",11207,11207
391,"40.91, -73.86",10704,10704
392,"40.66, -73.7",11580,11580
393,"42.87, -73.47",12094,12094
394,"40.74, -74.02",7030,07030
395,"40.68, -73.9",11207,11207
396,"40.72, -73.74",11428,11428
397,"40.82, -73.89",10474,10474
398,"40.59, -74.09",10305,10305
399,"40.83, -73.82",10465,10465
400,"40.78, -73.82",11357,11357
401,"40.72, -73.83",11415,11415
402,"40.67, -73.91",11212,11212
403,"40.59, -73.79",11692,11692
404,"40.63, -73.93",11234,11234
405,"40.61, -73.96",11229,11229
406,"40.88, -73.85",10469,10469
407,"40.74, -74.03",7030,07030
408,"40.84, -73.92",10452,10452
409,"40.63, -74.04",11209,11209
410,"40.62, -74.01",11228,11228
411,"40.64, -74.08",10301,10301
412,"40.7, -74.02",10004,10004
413,"40.65, -73.92",11236,11236
414,"40.63, -73.95",11210,11210
415,"40.7, -73.95",11206,11206
416,"40.76, -73.8",11358,11358
417,"41.01, -73.86",10522,10522
418,"42.3, -71.21",2464,02464
419,"40.62, -74.08",10304,10304
420,"40.85, -73.91",10453,10453
421,"40.7, -73.89",11385,11385
422,"40.61, -74.09",10304,10304
423,"41.02, -73.77",10606,10606
424,"40.51, -74.24",10307,10307
425,"40.67, -73.9",11207,11207
426,"40.59, -73.81",11693,11693
427,"40.79, -74.01",7093,07093
428,"40.84, -73.82",10465,10465
429,"40.74, -73.76",11364,11364
430,"40.99, -73.88",10706,10706
431,"41.75, -87.61",60619,60619
432,"40.85, -73.86",10462,10462
433,"40.61, -73.75",11691,11691
434,"40.72, -73.75",11428,11428
435,"40.72, -73.87",11379,11379
436,"44.88, -93.27",55423,55423
437,"40.66, -73.9",11207,11207
438,"40.91, -73.2",11780,11780
439,"40.7, -73.84",11418,11418
440,"40.69, -73.85",11421,11421
441,"40.65, -73.91",11236,11236
442,"40.63, -73.9",11236,11236
443,"40.6, -74.01",11252,11252
444,"40.9, -73.86",10470,10470
445,"40.73, -74.16",7105,07105
446,"40.69, -73.82",11419,11419
447,"40.84, -73.96",7024,07024
448,"40.72, -73.97",10002,10002
449,"40.58, -74.53",8805,08805
450,"40.72, -74.03",7311,07311
451,"40.65, -73.93",11203,11203
452,"40.63, -74.09",10314,10314
453,"40.82, -73.91",10456,10456
454,"40.55, -74.05",10305,10305
455,"40.66, -73.89",11207,11207
456,"40.79, -73.87",11369,11369
457,"40.75, -74.02",7030,07030
458,"40.83, -73.87",10472,10472
459,"40.82, -73.93",10451,10451
